aX,aY,aZ,gX,gY,gZ
-0.090,2.103,1.016,5.310,40.222,-1.587
-0.126,2.755,1.032,-7.568,57.678,-2.136
0.038,3.380,1.026,-21.179,75.500,-2.197
0.326,3.803,1.021,-33.447,86.426,-2.991
0.561,3.999,1.037,-46.021,85.205,-3.784
0.869,3.999,0.928,-57.861,67.810,-4.272
1.175,3.936,0.721,-62.500,33.752,-8.667
1.452,3.878,0.518,-58.105,-14.099,-12.695
1.473,3.789,0.190,-45.654,-78.308,-4.089
1.258,3.772,-0.210,-31.250,-148.010,17.212
0.862,3.881,-0.553,-20.264,-202.698,40.405
0.318,3.922,-0.870,-7.935,-231.995,58.716
-0.096,3.725,-0.998,9.888,-227.722,63.171
-0.537,3.257,-1.005,26.306,-190.857,66.895
-0.895,2.672,-0.960,29.968,-135.376,82.703
-1.115,2.093,-0.837,37.354,-67.993,85.632
-1.242,1.089,-0.751,60.669,-2.869,75.134
-1.338,-0.132,-0.584,79.407,46.082,75.195
-1.328,-1.290,-0.472,82.886,73.303,68.420
-1.318,-2.249,-0.197,82.703,84.595,40.527
-1.083,-3.380,0.092,94.666,75.073,-4.517
-0.849,-4.000,0.322,119.873,42.358,-57.983
-1.005,-4.000,0.466,152.405,-2.014,-105.347
-1.105,-4.000,0.876,215.698,-20.081,-146.484
-0.693,-4.000,1.664,309.448,6.592,-165.527
0.468,-4.000,2.339,406.921,51.208,-158.508
1.841,-4.000,2.497,466.309,77.026,-151.489
2.591,-3.400,2.636,456.421,79.163,-153.931
2.948,-1.843,3.373,358.887,55.481,-122.192
3.080,-0.255,4.000,244.995,-6.775,-57.739
2.378,-0.542,4.000,168.945,-99.121,-2.502
1.006,-1.245,3.254,82.092,-169.800,24.719
0.109,-1.172,2.205,-58.899,-175.293,42.969
-0.338,-0.935,1.365,-187.805,-124.451,44.495
-0.521,-0.810,0.856,-255.859,-44.434,30.029
-0.370,-0.629,0.485,-277.222,20.020,27.527
-0.144,-0.676,0.123,-266.846,39.124,41.626
-0.156,-0.636,-0.143,-242.493,14.771,50.537
-0.414,-0.505,-0.421,-211.548,-33.691,51.208
-0.728,-0.316,-0.685,-173.584,-78.308,45.044
-0.933,-0.146,-0.784,-131.775,-93.872,30.090
-0.792,-0.034,-0.715,-90.332,-80.872,13.123
-0.485,0.062,-0.547,-52.673,-60.364,4.272
-0.392,0.146,-0.236,-26.123,-38.696,6.714
-0.062,0.200,0.031,-6.592,-14.526,11.841
-0.124,0.041,0.297,19.043,-6.409,21.851
-0.211,0.073,0.654,30.029,6.592,20.874
-0.229,-0.089,0.866,44.617,17.883,14.587
-0.151,-0.124,1.047,46.692,31.006,0.854
0.058,-0.142,1.133,38.086,39.246,-10.986
0.339,-0.046,1.198,21.790,38.940,-18.433
0.477,0.071,1.206,5.554,23.804,-17.029
0.409,0.119,1.158,-4.456,0.244,-6.531
0.228,0.138,1.079,-9.277,-19.226,6.042
0.063,0.134,1.013,-10.742,-28.259,14.099
-0.026,0.110,0.992,-10.742,-27.832,17.334
-0.072,0.086,0.974,-10.864,-25.757,18.188
-0.146,0.073,0.939,-12.939,-25.635,18.616
-0.241,0.067,0.877,-15.381,-26.550,17.456
-0.312,0.059,0.809,-16.418,-24.170,13.672
-0.322,0.052,0.764,-16.785,-17.029,8.789
-0.333,0.061,0.734,-17.456,-7.690,5.371
-0.292,0.089,0.718,-17.883,1.038,3.845
-0.239,0.134,0.722,-17.151,7.874,0.671
-0.175,0.182,0.748,-13.123,9.521,-3.113
-0.115,0.201,0.778,-5.676,5.310,-5.493
-0.092,0.197,0.804,2.258,-3.540,-5.676
-0.119,0.178,0.823,7.751,-13.611,-4.944
-0.172,0.154,0.834,10.864,-20.569,-4.517
-0.205,0.141,0.834,10.132,-20.996,-3.479
-0.221,0.111,0.818,6.470,-15.076,-3.418
-0.187,0.145,0.838,1.465,-4.517,-6.042
-0.048,0.140,0.854,-3.540,4.333,-7.446
0.047,0.218,0.881,-6.775,4.089,-5.981
0.081,0.198,0.844,-7.629,-4.822,-1.892
0.005,0.233,0.812,-6.104,-17.639,3.296
-0.103,0.273,0.801,-2.563,-26.489,6.592
-0.190,0.273,0.822,2.991,-29.236,9.094
-0.251,0.244,0.831,8.362,-28.381,10.986
-0.280,0.216,0.858,12.390,-25.818,10.803
-0.333,0.197,0.858,13.733,-22.217,7.263
-0.345,0.174,0.860,11.475,-15.747,2.075
-0.318,0.190,0.886,8.545,-9.399,-1.892
-0.250,0.184,0.896,6.104,-5.188,-3.296
-0.172,0.195,0.909,3.601,-3.723,-3.723
-0.131,0.223,0.916,1.709,-6.287,-3.845
-0.139,0.243,0.908,2.502,-10.254,-3.418
-0.174,0.223,0.872,4.700,-12.207,-3.052
-0.218,0.218,0.844,6.226,-9.155,-3.052
-0.275,0.194,0.761,6.104,-0.305,-3.052
-0.307,0.209,0.775,4.700,16.846,-3.235
-0.058,0.116,0.881,5.310,31.250,-0.916
0.002,0.204,0.979,5.127,29.114,0.549
0.045,0.215,1.015,0.854,18.311,1.526
0.002,0.194,1.002,0.977,-0.122,3.479
-0.095,0.226,0.981,0.671,-13.794,3.662
-0.172,0.216,0.965,1.099,-20.142,3.296
-0.197,0.200,0.951,0.183,-18.921,1.953
-0.217,0.205,0.929,-3.113,-13.123,1.099
-0.209,0.240,0.939,-5.920,-5.005,0.488
-0.175,0.253,0.946,-5.981,2.014,-0.854
-0.125,0.250,0.958,-4.211,6.042,-1.831
-0.094,0.245,0.968,-2.380,6.165,-1.770
-0.094,0.253,0.965,-0.427,2.747,-1.160
