aX,aY,aZ,gX,gY,gZ
-0.346,-1.308,1.443,-268.555,231.445,42.664
0.061,-1.145,1.071,-322.998,284.729,53.955
0.640,-0.946,0.676,-353.394,298.523,65.002
1.028,-0.464,0.365,-340.393,279.358,71.350
1.349,-0.336,0.224,-284.668,231.506,87.097
1.292,-0.177,0.131,-214.600,170.837,88.623
1.076,-0.307,-0.026,-145.203,113.770,89.783
0.913,-0.345,-0.266,-86.609,73.242,80.627
0.828,-0.285,-0.358,-37.720,55.664,67.383
0.638,-0.185,-0.381,-1.038,56.091,57.251
0.443,-0.068,-0.384,28.259,61.035,46.631
0.395,-0.335,-0.449,51.636,71.533,40.894
0.577,-0.504,-0.328,61.157,90.210,24.597
0.742,-0.625,-0.287,55.786,91.492,0.977
0.729,-0.473,-0.237,45.410,85.510,-15.259
0.763,-0.485,-0.164,36.194,74.341,-21.118
0.878,-0.592,-0.144,27.100,54.077,-26.428
0.970,-0.655,-0.133,19.775,29.907,-32.593
1.012,-0.658,-0.126,16.052,3.479,-34.729
1.069,-0.625,-0.060,14.038,-22.461,-32.715
1.134,-0.674,0.032,15.076,-48.523,-26.489
1.098,-0.696,0.054,15.808,-73.364,-22.339
0.951,-0.776,0.062,15.930,-86.487,-17.334
0.784,-0.799,0.159,10.620,-77.026,-15.808
0.713,-0.782,0.279,1.221,-50.720,-12.451
0.680,-0.760,0.287,-7.874,-25.391,-4.944
0.650,-0.733,0.234,-14.832,-6.958,3.479
0.648,-0.682,0.138,-19.348,2.747,10.742
0.661,-0.643,0.037,-21.179,6.775,15.869
0.654,-0.629,-0.031,-20.447,8.179,18.066
0.633,-0.622,-0.080,-18.250,8.545,18.066
0.646,-0.625,-0.114,-14.221,6.409,16.663
0.686,-0.633,-0.138,-8.911,1.343,13.977
0.718,-0.652,-0.144,-2.502,-5.066,11.047
0.743,-0.678,-0.139,3.296,-12.390,7.629
0.750,-0.688,-0.138,8.484,-21.118,3.174
0.749,-0.712,-0.134,13.062,-29.053,-0.122
0.748,-0.753,-0.131,17.761,-35.828,-2.869
0.735,-0.770,-0.112,21.790,-40.833,-5.432
0.718,-0.773,-0.089,24.902,-44.617,-7.019
0.696,-0.789,-0.073,27.222,-47.058,-7.446
0.667,-0.807,-0.061,28.992,-47.852,-7.446
0.651,-0.835,-0.043,29.175,-45.898,-6.836
0.625,-0.839,-0.031,27.710,-42.725,-7.019
0.591,-0.837,-0.015,25.757,-38.330,-6.348
0.583,-0.850,-0.012,23.315,-33.020,-5.737
0.597,-0.862,-0.019,19.958,-27.222,-5.920
0.613,-0.858,-0.009,15.930,-21.240,-6.348
0.618,-0.846,0.015,11.841,-17.578,-5.798
0.622,-0.849,0.033,8.606,-17.456,-4.517
0.627,-0.857,0.056,6.287,-19.409,-3.662
0.631,-0.860,0.085,4.395,-22.644,-3.235
0.620,-0.871,0.119,3.418,-27.344,-3.174
0.599,-0.867,0.134,2.502,-32.593,-3.723
0.567,-0.864,0.158,0.793,-36.072,-4.456
0.544,-0.860,0.184,-1.099,-37.598,-5.066
0.506,-0.854,0.187,-3.113,-36.926,-5.249
0.495,-0.852,0.202,-4.456,-32.227,-5.310
0.516,-0.873,0.224,-5.798,-25.330,-5.371
0.540,-0.861,0.214,-8.423,-19.592,-6.042
0.563,-0.859,0.221,-11.475,-13.916,-4.944
0.570,-0.838,0.212,-13.672,-11.292,-3.784
0.578,-0.834,0.183,-15.381,-11.230,-2.625
0.586,-0.829,0.161,-15.747,-10.559,-1.343
0.595,-0.816,0.159,-14.648,-9.705,-0.610
0.598,-0.799,0.151,-13.184,-9.399,-0.183
0.607,-0.802,0.147,-10.437,-9.338,0.183
0.620,-0.816,0.147,-6.958,-9.399,-0.061
0.623,-0.825,0.155,-3.662,-10.132,-0.732
0.615,-0.828,0.162,-0.244,-11.475,-1.892
0.627,-0.827,0.172,2.686,-12.878,-3.052
0.643,-0.838,0.190,4.700,-13.672,-3.296
0.654,-0.844,0.207,5.554,-14.221,-3.601
0.664,-0.848,0.229,4.883,-15.320,-3.357
0.677,-0.854,0.259,2.441,-16.907,-2.380
0.667,-0.855,0.282,-1.526,-20.081,-0.305
0.639,-0.849,0.293,-5.859,-24.109,2.075
0.608,-0.847,0.292,-10.742,-28.198,4.272
0.579,-0.846,0.296,-14.771,-30.518,5.798
0.550,-0.843,0.301,-18.372,-30.945,6.653
0.524,-0.838,0.303,-20.874,-29.724,7.019
0.509,-0.840,0.309,-22.217,-26.428,7.141
0.508,-0.851,0.317,-22.827,-22.095,7.446
0.505,-0.853,0.319,-23.621,-16.663,8.362
0.495,-0.853,0.305,-24.475,-11.169,9.460
0.495,-0.865,0.287,-24.536,-5.066,9.949
0.504,-0.867,0.273,-22.766,3.296,9.338
0.509,-0.865,0.259,-19.653,14.343,8.606
0.524,-0.858,0.262,-16.602,28.564,8.728
0.540,-0.865,0.266,-14.709,45.166,10.559
0.556,-0.877,0.271,-13.672,63.721,13.855
0.596,-0.898,0.273,-14.465,82.397,17.944
0.643,-0.889,0.272,-16.602,99.548,22.095
0.701,-0.888,0.261,-19.897,113.770,26.672
0.765,-0.880,0.255,-24.353,125.793,32.104
0.813,-0.869,0.263,-29.602,136.414,38.574
0.838,-0.852,0.264,-34.973,145.203,45.715
0.865,-0.824,0.257,-39.368,151.306,53.284
0.896,-0.810,0.238,-41.626,154.785,60.242
0.920,-0.791,0.216,-42.603,155.640,66.345
0.934,-0.771,0.183,-42.419,153.687,71.594
